Column1,index,protein_external_id,preferred_name,protein_size,"annotation
",nlp_processing,cancer_noun_identification,sent_negative,sent_positive,sent_neutral,cancer,TP,FP,TN,FN,cancer_real_label
0,102,9606.ENSP00000064778,FAM168A,244,protein fama in cancer context protects cells from induced dna damage and apoptosis acts at least in part through pik akt nfkb signaling pathway and by preventing polb degradation decreases polb ubiquitation and stabilizes its protein levels ,"['protein', 'fama', 'cancer', 'context', 'protects', 'cell', 'induced', 'dna', 'damage', 'apoptosis', 'act', 'least', 'part', 'pik', 'akt', 'nfkb', 'signaling', 'pathway', 'preventing', 'polb', 'degradation', 'decrease', 'polb', 'ubiquitation', 'stabilizes', 'protein', 'level']",1,0.261,0.05,0.69,0,0,0,1,0,0
1,156,9606.ENSP00000167106,VASH1,365,vasohibin  angiogenesis inhibitor inhibits migration proliferation and network formation by endothelial cells as well as angiogenesis this inhibitory effect is selective to endothelial cells as it does not affect the migration of smooth muscle cells or fibroblasts does not affect the proliferation of cancer cells in vitro but inhibits tumor growth and tumor angiogenesis acts in an autocrine manner inhibits artery neointimal formation and macrophage infiltration exhibits heparin binding activity ,"['vasohibin', 'angiogenesis', 'inhibitor', 'inhibits', 'migration', 'proliferation', 'network', 'formation', 'endothelial', 'cell', 'well', 'angiogenesis', 'inhibitory', 'effect', 'selective', 'endothelial', 'cell', 'affect', 'migration', 'smooth', 'muscle', 'cell', 'fibroblast', 'affect', 'proliferation', 'cancer', 'cell', 'vitro', 'inhibits', 'tumor', 'growth', 'tumor', 'angiogenesis', 'act', 'autocrine', 'manner', 'inhibits', 'artery', 'neointimal', 'formation', 'macrophage', 'infiltration', 'exhibit', 'heparin', 'binding', 'activity']",1,0.221,0.059,0.72,0,0,0,1,0,0
2,241,9606.ENSP00000201031,TFAP2C,450,transcription factor ap  gamma sequence specific dna binding protein that interacts with inducible viral and cellular enhancer elements to regulate transcription of selected genes ap  factors bind to the consensus sequence  gccnnnggc  and activate genes involved in a large spectrum of important biological functions including proper eye face body wall limb and neural tube development they also suppress a number of genes including mcam muc c ebp alpha and myc involved in the mta mediated epigenetic regulation of esr expression in breast cancer ,"['transcription', 'factor', 'ap', 'gamma', 'sequence', 'specific', 'dna', 'binding', 'protein', 'interacts', 'inducible', 'viral', 'cellular', 'enhancer', 'element', 'regulate', 'transcription', 'selected', 'gene', 'ap', 'factor', 'bind', 'consensus', 'sequence', 'gccnnnggc', 'activate', 'gene', 'involved', 'large', 'spectrum', 'important', 'biological', 'function', 'including', 'proper', 'eye', 'face', 'body', 'wall', 'limb', 'neural', 'tube', 'development', 'also', 'suppress', 'number', 'gene', 'including', 'mcam', 'muc', 'c', 'ebp', 'alpha', 'myc', 'involved', 'mta', 'mediated', 'epigenetic', 'regulation', 'esr', 'expression', 'breast', 'cancer']",1,0.052,0.037,0.911,0,0,0,1,0,0
3,441,9606.ENSP00000216807,BRMS1L,323,breast cancer metastasis suppressor  like protein involved in the histone deacetylase hdac dependent transcriptional repression activity when overexpressed in lung cancer cell line that lacks p tp expression inhibits cell growth ,"['breast', 'cancer', 'metastasis', 'suppressor', 'like', 'protein', 'involved', 'histone', 'deacetylase', 'hdac', 'dependent', 'transcriptional', 'repression', 'activity', 'overexpressed', 'lung', 'cancer', 'cell', 'line', 'lack', 'p', 'tp', 'expression', 'inhibits', 'cell', 'growth']",1,0.314,0.12,0.566,0,0,0,1,0,0
4,514,9606.ENSP00000219022,OLFM4,510,olfactomedin  may promote proliferation of pancreatic cancer cells by favoring the transition from the s to g m phase in myeloid leukemic cell lines inhibits cell growth and induces cell differentiation and apoptosis may play a role in the inhibition of eifebp phosphorylation deactivation facilitates cell adhesion most probably through interaction with cell surface lectins and cadherin ,"['olfactomedin', 'may', 'promote', 'proliferation', 'pancreatic', 'cancer', 'cell', 'favoring', 'transition', 'g', 'phase', 'myeloid', 'leukemic', 'cell', 'line', 'inhibits', 'cell', 'growth', 'induces', 'cell', 'differentiation', 'apoptosis', 'may', 'play', 'role', 'inhibition', 'eifebp', 'phosphorylation', 'deactivation', 'facilitates', 'cell', 'adhesion', 'probably', 'interaction', 'cell', 'surface', 'lectin', 'cadherin']",1,0.135,0.16,0.706,0,0,0,0,1,1
5,589,9606.ENSP00000220812,DKK4,224,dickkopf related protein  antagonizes canonical wnt signaling by inhibiting lrp  interaction with wnt and by forming a ternary complex with the transmembrane protein kremen that promotes internalization of lrp  dkks play an important role in vertebrate development where they locally inhibit wnt regulated processes such as antero posterior axial patterning limb development somitogenesis and eye formation in the adult dkks are implicated in bone formation and bone disease cancer and alzheimer disease by similarity ,"['dickkopf', 'related', 'protein', 'antagonizes', 'canonical', 'wnt', 'signaling', 'inhibiting', 'lrp', 'interaction', 'wnt', 'forming', 'ternary', 'complex', 'transmembrane', 'protein', 'kremen', 'promotes', 'internalization', 'lrp', 'dkks', 'play', 'important', 'role', 'vertebrate', 'development', 'locally', 'inhibit', 'wnt', 'regulated', 'process', 'antero', 'posterior', 'axial', 'patterning', 'limb', 'development', 'somitogenesis', 'eye', 'formation', 'adult', 'dkks', 'implicated', 'bone', 'formation', 'bone', 'disease', 'cancer', 'alzheimer', 'disease', 'similarity']",1,0.12,0.08,0.8,0,0,0,1,0,0
6,815,9606.ENSP00000226230,TMEM97,176,sigma intracellular receptor  intracellular orphan receptor that binds numerous drugs and which is highly expressed in various proliferating cancer cells corresponds to the sigma  receptor which is thought to play important role in regulating cell survival morphology and differentiation under investigation for its potential diagnostic and therapeutic uses may play a role as a regulator of cellular cholesterol homeostasis may function as sterol isomerase may alter the activity of some cytochrome p proteins ,"['sigma', 'intracellular', 'receptor', 'intracellular', 'orphan', 'receptor', 'bind', 'numerous', 'drug', 'highly', 'expressed', 'various', 'proliferating', 'cancer', 'cell', 'corresponds', 'sigma', 'receptor', 'thought', 'play', 'important', 'role', 'regulating', 'cell', 'survival', 'morphology', 'differentiation', 'investigation', 'potential', 'diagnostic', 'therapeutic', 'us', 'may', 'play', 'role', 'regulator', 'cellular', 'cholesterol', 'homeostasis', 'may', 'function', 'sterol', 'isomerase', 'may', 'alter', 'activity', 'cytochrome', 'p', 'protein']",1,0.057,0.086,0.857,0,0,0,0,1,1
7,891,9606.ENSP00000228865,CREBL2,120,camp responsive element binding protein like  probable regulator of creb transcriptional activity which is involved in adipose cells differentiation may also play a regulatory role in the cell cycle identification in a chromosomal region frequently deleted in various cancers suggests that it might act as a tumor suppressor belongs to the bzip family atf subfamily ,"['camp', 'responsive', 'element', 'binding', 'protein', 'like', 'probable', 'regulator', 'creb', 'transcriptional', 'activity', 'involved', 'adipose', 'cell', 'differentiation', 'may', 'also', 'play', 'regulatory', 'role', 'cell', 'cycle', 'identification', 'chromosomal', 'region', 'frequently', 'deleted', 'various', 'cancer', 'suggests', 'might', 'act', 'tumor', 'suppressor', 'belongs', 'bzip', 'family', 'atf', 'subfamily']",1,0.045,0.128,0.828,0,0,0,1,0,0
8,999,9606.ENSP00000231656,CDX1,265,homeobox protein cdx  plays a role in transcriptional regulation involved in activated kras mediated transcriptional activation of prkd in colorectal cancer crc cells binds to the prkd promoter in colorectal cancer crc cells could play a role in the terminal differentiation of the intestine hoxl subclass homeoboxes ,"['homeobox', 'protein', 'cdx', 'play', 'role', 'transcriptional', 'regulation', 'involved', 'activated', 'kras', 'mediated', 'transcriptional', 'activation', 'prkd', 'colorectal', 'cancer', 'crc', 'cell', 'bind', 'prkd', 'promoter', 'colorectal', 'cancer', 'crc', 'cell', 'could', 'play', 'role', 'terminal', 'differentiation', 'intestine', 'hoxl', 'subclass', 'homeobox']",1,0.162,0.081,0.756,0,0,0,0,1,1
9,1065,9606.ENSP00000233948,WNT6,365,protein wnt  ligand for members of the frizzled family of seven transmembrane receptors probable developmental protein may be a signaling molecule which affects the development of discrete regions of tissues is likely to signal over only few cell diameters together with cav may promote chemoresistance of gastric cancer cells to dna damaging anthracycline drugs through the activation of the canonical wnt receptor signaling pathway ,"['protein', 'wnt', 'ligand', 'member', 'frizzled', 'family', 'seven', 'transmembrane', 'receptor', 'probable', 'developmental', 'protein', 'may', 'signaling', 'molecule', 'affect', 'development', 'discrete', 'region', 'tissue', 'likely', 'signal', 'cell', 'diameter', 'together', 'cav', 'may', 'promote', 'chemoresistance', 'gastric', 'cancer', 'cell', 'dna', 'damaging', 'anthracycline', 'drug', 'activation', 'canonical', 'wnt', 'receptor', 'signaling', 'pathway']",1,0.11,0.037,0.853,0,0,0,0,1,1
